"Código","Departamento","Total de personas","Total de población en viviendas colectivas y situación de calle"
1,"Guatemala",3015081,20418
2,"El Progreso",176632,192
3,"Sacatepéquez",330469,2664
4,"Chimaltenango",615776,1705
5,"Escuintla",733181,6086
6,"Santa Rosa",396607,890
7,"Sololá",421583,319
8,"Totonicapán",418569,178
9,"Quetzaltenango",799101,3764
10,"Suchitepéquez",554695,780
11,"Retalhuleu",326828,184
12,"San Marcos",1032277,273
13,"Huehuetenango",1170669,409
14,"Quiché",949261,457
15,"Baja Verapaz",299476,169
16,"Alta Verapaz",1215038,847
17,"Petén",545600,737
18,"Izabal",408688,1049
19,"Zacapa",245374,1026
20,"Chiquimula",415063,495
21,"Jalapa",342923,630
22,"Jutiapa",488395,480
